,time,price,amount
316,1534132937,6349.99,1.3
317,1534132937,6349.95,0.40870482
318,1534132938,6349.99,0.31691091
319,1534132938,6350.04,0.09129518
320,1534132939,6350.04,1.0
321,1534132939,6350.04,0.20870482
322,1534132939,6350.0,0.18308909
323,1534132940,6349.59,1.3
324,1534132940,6349.59,0.09179391
325,1534132941,6349.58,1.0
326,1534132942,6349.58,0.31
327,1534132982,6349.57,0.78129519
328,1534132987,6349.57,0.52870481
329,1534132988,6349.57,0.03935768
330,1534132988,6350.52,0.00717266
331,1534132998,6352.72,0.2997183
332,1534133000,6352.72,0.0014862
333,1534133001,6352.72,0.0916871
334,1534133001,6352.72,0.01043691
335,1534133003,6352.72,0.03944302
336,1534133008,6351.09,0.60820609
337,1534133018,6352.6,0.00156145
338,1534133035,6352.6,1.10959798
339,1534133035,6352.6,0.19884057
340,1534133038,6352.59,1.31
341,1534133044,6352.51,0.17005636
342,1534133045,6352.5,0.00922923
343,1534133058,6352.5,0.00922936
344,1534133070,6352.5,0.01917098
345,1534133075,6351.41,0.75020907
346,1534133099,6352.5,0.02440218
347,1534133100,6352.5,0.03567581
348,1534133103,6352.47,0.01120962
349,1534133103,6352.47,0.02043167
350,1534133104,6352.47,1.0
351,1534133104,6352.47,0.27835871
352,1534133108,6355.41,0.11023
353,1534133109,6352.46,0.80115943
354,1534133109,6352.46,0.50884057
355,1534133111,6355.4,0.82994364
356,1534133112,6355.4,0.47005636
357,1534133112,6355.36,0.5
358,1534133112,6355.4,0.27307103
359,1534133114,6355.36,1.99997896
360,1534133119,6353.96,1.0
361,1534133120,6353.96,0.3
362,1534133120,6353.92,0.5
363,1534133121,6353.91,0.2
364,1534133121,6352.62,0.5
365,1534133130,6353.88,0.71280072
366,1534133133,6353.88,0.03928459
367,1534133142,6353.88,0.13711071
368,1534133142,6353.88,0.06355138
369,1534133142,6353.88,0.01728813
370,1534133153,6353.88,0.00998513
371,1534133160,6353.86,1.31
372,1534133160,6353.87,0.039337
373,1534133163,6353.87,1.3
374,1534133163,6360.23,0.5
375,1534133164,6360.22,0.24575206
376,1534133164,6360.22,0.74575206
377,1534133164,6360.22,0.30849588
378,1534133165,6360.21,1.0
379,1534133172,6360.08,1.31
380,1534133173,6360.09,0.69003934
381,1534133174,6358.95,0.00233209
382,1534133203,6360.08,1.31
383,1534133204,6360.08,1.0
384,1534133205,6363.69,1.31
