time,price,amount
2018-08-27 12:11:10,6665.99,0.00262497
2018-08-27 12:11:10,6665.99,0.00097467
2018-08-27 12:11:10,6665.99,0.00202487
2018-08-27 12:11:10,6665.99,0.00232522
2018-08-27 12:11:11,6667.05,0.018
2018-08-27 12:11:11,6667.05,0.026
2018-08-27 12:11:15,6667.99,0.0015743
2018-08-27 12:11:15,6667.99,0.00142445
2018-08-27 12:11:15,6667.99,0.00277428
2018-08-27 12:11:15,6667.99,0.00097465
2018-08-27 12:11:15,6668.71,0.014
2018-08-27 12:11:16,6668.72,0.019
2018-08-27 12:11:20,6668.99,0.00157432
2018-08-27 12:11:20,6668.99,0.00292395
2018-08-27 12:11:20,6670.39,0.019
2018-08-27 12:11:40,6670.99,0.00172386
2018-08-27 12:11:40,6670.99,0.00232313
2018-08-27 12:11:40,6670.99,0.00202356
2018-08-27 12:11:41,6670.99,0.00097415
2018-08-27 12:11:41,6670.99,0.00187367
2018-08-27 12:11:41,6670.99,0.0017237
2018-08-27 12:11:41,6670.99,0.00232333
2018-08-27 12:11:47,6672.06,0.02444208
2018-08-27 12:11:57,6668.34,0.01
2018-08-27 12:11:59,6670.31,0.004748
2018-08-27 12:12:01,6670.3,0.03746239
2018-08-27 12:12:20,6670.98,0.001539
2018-08-27 12:12:27,6670.31,0.03741668
2018-08-27 12:12:40,6670.54,0.09244638
2018-08-27 12:12:41,6670.29,0.50951907
2018-08-27 12:12:41,6670.29,0.01742478
2018-08-27 12:12:43,6670.29,6.356e-05
2018-08-27 12:13:39,6670.28,0.02647567
2018-08-27 12:13:39,6670.28,0.87009123
2018-08-27 12:13:39,6669.93,0.02568469
2018-08-27 12:13:39,6668.62,4.852e-05
2018-08-27 12:14:14,6670.49,0.5
2018-08-27 12:16:11,6670.99,0.00247322
2018-08-27 12:16:12,6672.06,0.00055792
2018-08-27 12:16:12,6672.68,0.03740265
2018-08-27 12:16:12,6672.99,0.00097404
2018-08-27 12:16:12,6672.99,0.0026225
2018-08-27 12:16:12,6672.99,0.00292215
2018-08-27 12:16:12,6672.99,0.00097406
2018-08-27 12:16:12,6672.99,0.00112365
2018-08-27 12:16:12,6672.99,0.00097373
2018-08-27 12:16:12,6672.99,0.00172292
2018-08-27 12:16:12,6672.99,0.00172317
2018-08-27 12:16:12,6672.99,0.00112371
2018-08-27 12:16:13,6673.73,0.027
2018-08-27 12:16:13,6675.4,0.024
2018-08-27 12:16:27,6675.99,0.0018722
2018-08-27 12:16:27,6677.07,0.027
2018-08-27 12:16:27,6677.99,0.0008218
2018-08-27 12:16:37,6677.61,0.55090765
2018-08-27 12:16:45,6677.61,0.44909235
2018-08-27 12:16:45,6675.5,2.043e-05
2018-08-27 12:17:03,6675.82,0.03744753
2018-08-27 12:17:14,6675.81,0.13263
2018-08-27 12:17:39,6675.81,0.03742689
2018-08-27 12:18:42,6677.27,0.00197601
2018-08-27 12:18:47,6677.28,0.07095853
2018-08-27 12:19:00,6677.28,0.0374194
2018-08-27 12:19:07,6677.27,0.8279671
2018-08-27 12:19:07,6675.01,6.591e-05
2018-08-27 12:19:09,6669.46,0.5
2018-08-27 12:19:09,6669.46,0.35412172
2018-08-27 12:19:21,6668.68,0.0399563
2018-08-27 12:19:56,6671.29,0.54894714
2018-08-27 12:19:58,6670.23,0.31
2018-08-27 12:20:15,6673.52,1.59116371
2018-08-27 12:20:15,6673.52,0.40883629
2018-08-27 12:20:19,6669.38,1.11
2018-08-27 12:20:19,6669.38,0.5
2018-08-27 12:20:19,6669.38,0.49114451
2018-08-27 12:21:20,6674.0,0.05435271
2018-08-27 12:21:46,6673.99,0.03745885
2018-08-27 12:22:25,6675.32,0.03745129
2018-08-27 12:23:03,6675.32,0.005146
2018-08-27 12:24:13,6675.32,0.03230539
2018-08-27 12:24:22,6675.32,0.06769461
2018-08-27 12:25:14,6675.33,0.002
2018-08-27 12:25:16,6674.74,0.03745454
2018-08-27 12:27:16,6673.45,0.03746188
2018-08-27 12:27:18,6673.49,0.02329052
2018-08-27 12:27:45,6673.49,0.00849636
2018-08-27 12:27:48,6673.49,0.00849776
2018-08-27 12:28:35,6674.87,0.03745381
2018-08-27 12:29:02,6674.87,0.02
2018-08-27 12:29:35,6675.16,0.005314
2018-08-27 12:29:54,6674.67,0.02
2018-08-27 12:30:17,6674.67,0.01561575
2018-08-27 12:30:41,6672.68,0.03746621
2018-08-27 12:30:54,6672.68,0.01499
2018-08-27 12:31:08,6672.68,0.94754379
2018-08-27 12:31:09,6672.0,5.148e-05
2018-08-27 12:31:28,6672.68,0.49994905
2018-08-27 12:31:32,6672.68,0.50005095
2018-08-27 12:31:33,6672.0,0.49994852
2018-08-27 12:31:33,6669.37,4.849e-05
2018-08-27 12:31:42,6672.68,1.0
2018-08-27 12:31:42,6669.37,4.796e-05
2018-08-27 12:31:46,6672.68,0.78079572
2018-08-27 12:32:15,6670.08,0.01
2018-08-27 12:32:15,6670.08,0.03748071
2018-08-27 12:32:15,6670.08,0.01
2018-08-27 12:32:16,6670.08,0.01
2018-08-27 12:32:16,6670.08,0.01
2018-08-27 12:32:16,6670.08,0.01
2018-08-27 12:32:26,6670.07,0.7808014
2018-08-27 12:32:33,6670.08,0.05660484
2018-08-27 12:33:30,6671.18,0.99997302
2018-08-27 12:34:19,6669.86,0.03745633
2018-08-27 12:34:21,6669.86,0.88749984
2018-08-27 12:34:21,6669.33,0.03740713
2018-08-27 12:34:33,6672.21,0.07504383
2018-08-27 12:34:34,6672.21,0.07504383
2018-08-27 12:34:34,6672.21,0.07504383
2018-08-27 12:34:34,6672.21,0.07504383
2018-08-27 12:34:34,6672.21,0.07504383
2018-08-27 12:34:34,6672.21,0.07504383
2018-08-27 12:34:34,6672.21,0.07504383
2018-08-27 12:34:34,6672.21,0.07504383
2018-08-27 12:34:34,6672.21,0.99914936
2018-08-27 12:35:12,6673.79,0.03743449
2018-08-27 12:35:53,6673.53,0.03760934
2018-08-27 12:35:55,6674.6,0.03745403
2018-08-27 12:35:55,6674.7,0.01630764
2018-08-27 12:35:55,6676.2,0.43059057
2018-08-27 12:36:36,6673.74,0.013301
2018-08-27 12:37:43,6676.95,0.03548027
2018-08-27 12:39:32,6676.99,0.00097323
2018-08-27 12:39:32,6676.99,0.00157232
2018-08-27 12:39:32,6676.99,0.00247085
2018-08-27 12:39:32,6676.99,0.00097319
2018-08-27 12:39:32,6676.99,0.00232115
2018-08-27 12:39:32,6676.99,0.00232104
2018-08-27 12:39:32,6676.99,0.00292016
2018-08-27 12:39:33,6676.99,0.00292026
2018-08-27 12:39:33,6676.99,0.00217148
2018-08-27 12:39:33,6676.99,0.0011232
2018-08-27 12:39:39,6676.99,0.01767355
2018-08-27 12:39:41,6676.98,0.98232645
2018-08-27 12:39:53,6674.7,1.0
2018-08-27 12:40:33,6674.7,1.0
2018-08-27 12:40:34,6675.79,0.0206755
2018-08-27 12:40:41,6674.7,1.0
2018-08-27 12:41:44,6675.32,0.03743569
2018-08-27 12:41:46,6675.33,0.2756766
2018-08-27 12:42:15,6673.64,0.03744579
2018-08-27 12:42:15,6673.63,0.24545829
2018-08-27 12:42:16,6673.63,0.49568226
2018-08-27 12:42:22,6673.63,0.01387514
2018-08-27 12:42:25,6673.63,0.02350552
2018-08-27 12:42:25,6670.28,0.01380551
2018-08-27 12:43:11,6668.54,0.821
2018-08-27 12:43:15,6666.86,0.00695233
2018-08-27 12:43:28,6666.85,0.00107743
2018-08-27 12:43:29,6666.85,0.03637401
2018-08-27 12:43:29,6668.09,4.06343415
2018-08-27 12:44:31,6668.08,0.19401413
2018-08-27 12:44:40,6668.81,1.85525698
2018-08-27 12:45:39,6669.61,0.02537248
2018-08-27 12:46:57,6670.33,0.013
2018-08-27 12:46:57,6670.43,0.01601132
2018-08-27 12:46:58,6670.97,0.10843864
2018-08-27 12:47:03,6670.1,0.01631187
2018-08-27 12:48:04,6671.48,0.00313337
2018-08-27 12:48:43,6671.39,0.00608469
2018-08-27 12:48:54,6669.96,0.7995
2018-08-27 12:48:56,6672.0,0.015
2018-08-27 12:48:57,6673.04,0.05329866
2018-08-27 12:49:02,6673.67,0.00298935
2018-08-27 12:49:20,6672.0,0.015
2018-08-27 12:49:20,6672.0,0.015
2018-08-27 12:49:21,6672.0,0.02318661
2018-08-27 12:49:35,6673.67,0.01101065
2018-08-27 12:49:46,6675.12,0.01132357
2018-08-27 12:49:53,6674.75,0.00266494
2018-08-27 12:49:53,6675.12,0.00959473
2018-08-27 12:49:56,6675.12,0.00265901
2018-08-27 12:50:05,6675.33,0.00903082
2018-08-27 12:50:09,6675.3,0.008069
2018-08-27 12:50:09,6675.3,0.00587961
2018-08-27 12:50:48,6675.3,0.01394861
2018-08-27 12:50:48,6675.33,0.08321139
2018-08-27 12:50:58,6675.33,0.001
2018-08-27 12:51:02,6675.33,0.0011
2018-08-27 12:51:02,6672.97,0.0011
2018-08-27 12:51:03,6672.97,0.03631669
2018-08-27 12:51:03,6672.77,0.36368331
2018-08-27 12:51:07,6675.33,0.01005899
2018-08-27 12:51:08,6672.77,0.2
2018-08-27 12:51:09,6672.77,0.001
2018-08-27 12:51:22,6675.32,0.03745139
2018-08-27 12:51:22,6675.33,0.16754192
2018-08-27 12:52:05,6674.98,0.04986668
2018-08-27 12:52:07,6673.58,0.03746105
2018-08-27 12:52:08,6673.58,0.00587977
2018-08-27 12:52:08,6672.77,0.00587985
2018-08-27 12:52:20,6672.77,0.03158128
2018-08-27 12:52:21,6673.75,0.02287127
2018-08-27 12:54:29,6671.57,0.00213358
2018-08-27 12:54:36,6673.74,0.03745335
2018-08-27 12:54:36,6673.75,0.12
2018-08-27 12:55:39,6674.98,0.004744
2018-08-27 12:55:45,6674.98,0.03744717
2018-08-27 12:57:23,6673.5,0.00159886
2018-08-27 12:58:09,6667.44,0.818
2018-08-27 13:00:17,6670.47,0.03745335
2018-08-27 13:00:19,6672.57,0.52195932
2018-08-27 13:01:59,6669.74,0.80521801
2018-08-27 13:05:35,6669.74,0.19706994
2018-08-27 13:05:35,6671.15,0.19204506
2018-08-27 13:06:00,6669.23,0.03746009
2018-08-27 13:06:38,6666.81,0.004946
2018-08-27 13:07:25,6666.81,0.004545
2018-08-27 13:07:52,6664.14,0.007277
2018-08-27 13:09:19,6668.52,0.03747446
2018-08-27 13:09:19,6668.53,0.31408586
2018-08-27 13:09:29,6669.06,0.9
2018-08-27 13:09:30,6669.06,0.00460941
2018-08-27 13:12:01,6668.54,0.03747442
2018-08-27 13:12:01,6668.54,0.16252558
2018-08-27 13:12:02,6670.54,0.16656
2018-08-27 13:14:29,6671.21,0.00226153
2018-08-27 13:14:29,6673.99,0.00202248
2018-08-27 13:14:29,6673.99,0.001723
2018-08-27 13:14:29,6673.99,0.00172308
2018-08-27 13:14:29,6673.99,0.00097355
2018-08-27 13:14:29,6673.99,0.00292171
2018-08-27 13:14:29,6673.99,0.00277181
2018-08-27 13:14:29,6673.99,0.00172306
2018-08-27 13:14:29,6673.99,0.0042702
2018-08-27 13:14:29,6673.99,0.00112376
2018-08-27 13:14:29,6673.99,0.00097371
2018-08-27 13:14:30,6674.33,0.03747828
2018-08-27 13:14:30,6675.33,3.72805688
2018-08-27 13:14:31,6675.58,0.84818309
2018-08-27 13:14:31,6675.17,0.6499061
2018-08-27 13:14:33,6675.99,0.00097346
2018-08-27 13:14:33,6676.24,0.04308202
2018-08-27 13:14:41,6672.89,0.0021541
2018-08-27 13:15:45,6675.99,0.00202188
2018-08-27 13:15:45,6675.99,0.00232133
2018-08-27 13:15:45,6675.99,0.00127289
2018-08-27 13:15:45,6675.99,6.096e-05
2018-08-27 13:16:19,6675.99,0.00241036
2018-08-27 13:16:19,6675.99,0.00097343
2018-08-27 13:16:19,6675.99,0.00112309
2018-08-27 13:16:19,6675.99,0.00097348
2018-08-27 13:16:26,6676.99,0.00262059
